@relation seasons
@attribute first { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute second { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute third { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute fourth { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute fifth { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute six { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute seven { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute eight { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute nine { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute ten { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute eleven { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute twelve { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute thirdteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute fourteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute fifthteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute sixteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute seventeen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute eightteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute nineteen { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute twenty { "aqua","black","fuchsia", "green", "grey","gray","blue", "lime", "maroon","navy", "olive","purple","red","silver","teal","white","yellow","orange"}
@attribute class {"invierno", "verano", "otono", "primavera"}
@data
silver,silver,gray,silver,black,gray,gray,black,gray,white,gray,silver,white,white,white,white,silver,white,white,gray,invierno
gray,silver,gray,gray,white,gray,silver,silver,maroon,silver,silver,silver,white,silver,silver,silver,silver,white,silver,silver,invierno
black,silver,gray,silver,silver,silver,gray,white,silver,silver,silver,silver,silver,silver,white,silver,silver,silver,silver,white,invierno
gray,gray,silver,gray,silver,silver,silver,silver,white,gray,silver,white,silver,silver,white,white,silver,white,white,silver,invierno
silver,black,gray,silver,black,gray,gray,teal,gray,teal,white,navy,white,teal,silver,gray,silver,teal,silver,white,invierno
gray,silver,white,gray,gray,white,gray,gray,silver,gray,silver,white,gray,silver,gray,silver,gray,silver,silver,silver,invierno
black,gray,silver,navy,gray,gray,gray,black,silver,silver,silver,silver,silver,gray,silver,silver,gray,silver,silver,white,invierno
silver,silver,gray,gray,gray,black,black,navy,gray,black,black,navy,gray,navy,navy,navy,black,black,black,gray,invierno
silver,gray,gray,gray,silver,silver,silver,silver,silver,silver,navy,silver,silver,silver,silver,white,white,gray,gray,white,invierno
black,gray,gray,silver,teal,gray,gray,silver,gray,gray,silver,black,silver,silver,gray,gray,gray,white,silver,gray,invierno
silver,navy,teal,navy,gray,gray,silver,teal,navy,silver,teal,teal,white,gray,white,white,silver,gray,silver,teal,invierno
black,silver,white,silver,gray,silver,silver,black,silver,white,white,white,white,gray,silver,gray,white,gray,white,silver,invierno
gray,gray,silver,silver,gray,silver,gray,gray,gray,silver,silver,silver,black,silver,silver,white,white,silver,gray,gray,invierno
silver,gray,gray,silver,silver,gray,silver,silver,navy,white,silver,silver,silver,silver,silver,white,white,silver,silver,silver,invierno
gray,gray,black,gray,silver,gray,silver,black,navy,black,silver,gray,silver,gray,silver,silver,silver,white,silver,black,invierno
silver,gray,silver,silver,silver,gray,silver,silver,silver,teal,white,white,silver,silver,silver,white,white,silver,silver,white,invierno
gray,gray,silver,gray,black,black,black,silver,gray,olive,black,gray,gray,gray,gray,gray,white,gray,white,maroon,invierno
gray,gray,black,gray,silver,silver,black,silver,silver,white,teal,white,teal,gray,silver,white,silver,silver,white,gray,invierno
teal,silver,silver,black,black,black,silver,silver,gray,silver,teal,teal,silver,silver,teal,navy,navy,silver,gray,white,invierno
gray,silver,silver,white,silver,white,gray,silver,silver,silver,white,white,gray,white,white,white,silver,white,white,white,invierno
silver,silver,silver,gray,silver,gray,gray,silver,gray,gray,silver,gray,silver,silver,silver,silver,silver,gray,gray,white,invierno
gray,gray,gray,gray,gray,silver,silver,gray,silver,black,silver,silver,silver,silver,gray,silver,gray,silver,white,white,invierno
gray,navy,gray,black,gray,gray,black,gray,gray,silver,gray,gray,silver,silver,silver,silver,white,silver,silver,silver,invierno
black,silver,gray,silver,silver,gray,black,gray,teal,silver,silver,silver,gray,silver,gray,silver,white,silver,silver,gray,invierno
